1.8804	0.25
1.8834	34.4
1.8863	108.3
1.8893	176.6
1.8922	219.1
1.8981	261.6
1.9011	272.8
1.904	280.8
1.907	284.2
1.91	284.1
1.9129	286.3
1.9159	278.8
1.9189	279.1
1.9218	276
1.9248	277
1.9308	282.2
1.9367	281.9
1.9427	281.7
1.9487	279.5
1.9487	276.4
1.9607	276.6
1.9727	273.4
1.9848	274.6
1.9969	274.8
2.0091	274.7
2.0091	274.8
2.0212	278.3
2.0335	280.5
2.0335	277.8
2.0457	275.8
2.058	288.2
2.0642	292.5
2.0703	266.9
2.0765	299.2
2.0827	302.2
2.0889	306.6
2.0951	312.8
2.1013	316.2
2.1075	321.7
2.12	334.7
2.1325	352.6
2.1451	368.3
2.1577	393.1
2.1703	419.3
2.1829	453.3
2.1956	483.2
2.2084	514
2.2211	542.7
2.2339	565.7
2.2468	576.4
2.2597	578.1
2.2726	570.4
2.2855	578.1
2.2855	545.6
2.2985	525.6
2.3115	498.5
2.3246	470.2
2.3246	476.2
2.3377	451.8
2.3508	430.7
2.364	409.9
2.3772	394
2.3905	379.9
2.4037	369.2
2.4171	360.6
2.4304	348.9
2.4438	340.6
2.4572	335
2.4707	325.1
2.4842	322.7
2.4977	319.5
2.5113	313.5
2.5249	311.3
2.5386	304.5
2.5523	303
2.566	302.9
2.5797	300.2
2.5935	298.9
2.5935	299.4
2.6108	295.8
2.6282	293.3
2.6456	292
2.6631	291.5
2.6806	289
2.6982	290.1
2.7158	289.6
2.7335	288.2
2.7513	287.1
2.7691	287.1
2.8049	285.8
2.8409	286.9
2.8771	287.4
2.9136	287.6
2.9503	288.8
2.9503	287.7
2.9872	296
3.0244	292
